S.No,Crime,Gender,Age,Income,Job,Maritalstatus,Education,Harm,Attack,AttackMethod
450,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
451,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
452,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Student,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
453,Misuse of Debit Cards or Credit Cards,Female,51 and Above,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
454,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
455,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
456,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Middle,Health Sector Manager,Single,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
457,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
458,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Health Sector Manager,Married,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
459,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
460,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
461,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Housewife,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
462,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
463,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Others,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
464,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
465,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Middle,Others,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
466,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
467,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Low,Housewife,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
468,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
469,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Health Sector Manager,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
470,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
471,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,IT Sector,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
472,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
473,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Married,High School,Withdrawing Money by Introducing Himself as a Bank Clerk,Hacking Social Media Accounts,Creating a Fake Shopping Site
474,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
475,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Middle,Health Sector Manager,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
476,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Student,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
477,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
478,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
479,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Single,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
480,Misuse of Debit Cards or Credit Cards,Male,27 and Under,High,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
481,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
482,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
483,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Middle,Others,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
484,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,IT Sector,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
485,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
486,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
487,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
488,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Education,Married,Primary Education,Withdrawing Money by Introducing Himself as a Bank Clerk,Hacking Social Media Accounts,Creating a Fake Shopping Site
489,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
490,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Graduate,Withdrawing Money by Introducing Himself as a Bank Clerk,Hacking Social Media Accounts,Creating a Fake Shopping Site
491,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
492,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
493,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
494,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
495,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Technical,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
496,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
497,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
498,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Others,Married,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
499,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Middle,Health Sector Manager,Single,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
500,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
501,Misuse of Debit Cards or Credit Cards,Male,27 and Under,High,Education,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
502,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Low,Technical,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
503,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
504,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
505,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
506,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
507,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Housewife,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
508,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
509,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Student,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
510,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
511,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Education,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
512,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
513,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
514,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Justice and Security,Single,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
515,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Middle,Others,Single,Graduate,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
516,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,IT Sector,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
517,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Student,Single,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
518,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
519,Misuse of Debit Cards or Credit Cards,Female,51 and Above,Middle,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
520,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Retired,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
521,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
522,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
523,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Housewife,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
524,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Single,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
525,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Health Sector Manager,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
526,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Housewife,Married,Primary Education,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
527,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Others,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
528,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Low,Technical,Single,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Card Copying / Generating Devices
529,Hacking into the Information System and Capturing Data,Female,27 and Under,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site
530,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Middle,Technical,Married,Primary Education,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
531,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Low,Technical,Married,High School,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
532,Hacking into the Information System and Capturing Data,Male,27 and Under,Middle,Others,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
533,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Single,Primary Education,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site
534,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site
535,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Technical,Single,Primary Education,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
536,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Married,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
537,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Low,Technical,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site
538,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Others,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
539,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
540,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
541,Hacking into the Information System and Capturing Data,Female,27 and Under,Middle,Justice and Security,Single,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Card Copying / Generating Devices
542,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Married,Primary Education,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Card Copying / Generating Devices
543,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
544,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Technical,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
545,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
546,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Health Sector Manager,Married,Graduate,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
547,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
548,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Technical,Single,Primary Education,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site
549,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Technical,Single,Primary Education,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
550,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Middle,Retired,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site
551,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Middle,Technical,Married,Primary Education,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
552,Hacking into the Information System and Capturing Data,Male,51 and Above,Middle,Education,Married,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site
553,Hacking into the Information System and Capturing Data,Female,51 and Above,Low,Retired,Married,Graduate,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
554,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Technical,Married,Primary Education,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
555,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
556,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Education,Married,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
557,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
558,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
559,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
560,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
561,Hacking into the Information System and Capturing Data,Female,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
562,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
563,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
564,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Low,Justice and Security,Married,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
565,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,High,Technical,Married,Primary Education,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
566,Hacking into the Information System and Capturing Data,Female,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
567,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
568,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Married,Primary Education,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
569,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
570,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,IT Sector,Married,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
571,Hacking into the Information System and Capturing Data,Male,51 and Above,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
572,Hacking into the Information System and Capturing Data,Female,51 and Above,Middle,Education,Single,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site
573,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Technical,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
574,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Technical,Married,Under Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
575,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Justice and Security,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
576,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,Graduate,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
577,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Card Copying / Generating Devices
578,Hacking into the Information System and Capturing Data,Female,Between 38 and 50,Middle,Health Sector Manager,Married,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site
579,Hacking into the Information System and Capturing Data,Male,27 and Under,Middle,Technical,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
580,Hacking into the Information System and Capturing Data,Female,Between 38 and 50,Low,Technical,Single,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site
581,Hacking into the Information System and Capturing Data,Male,51 and Above,Middle,Finance Sector,Married,Graduate,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
582,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
583,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Married,Primary Education,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
584,Hacking into the Information System and Capturing Data,Female,Between 28 and 37,Low,Technical,Single,Primary Education,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
585,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Middle,Technical,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
586,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Married,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
587,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Married,Primary Education,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
588,Hacking into the Information System and Capturing Data,Female,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
589,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Others,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Card Copying / Generating Devices
590,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
591,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Middle,Justice and Security,Married,Graduate,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
592,Hacking into the Information System and Capturing Data,Male,51 and Above,Middle,Technical,Married,Graduate,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site
593,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Technical,Single,High School,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
594,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Technical,Married,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
595,Hacking into the Information System and Capturing Data,Male,27 and Under,Middle,Technical,Single,Primary Education,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
596,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Low,Technical,Single,Primary Education,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
597,Hacking into the Information System and Capturing Data,Male,51 and Above,Low,Retired,Married,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Creating a Fake Shopping Site
598,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Married,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
599,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Technical,Single,High School,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
600,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Technical,Married,Primary Education,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
601,Hacking into the Information System and Capturing Data,Male,Between 28 and 37,Low,Technical,Married,Primary Education,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
602,Hacking into the Information System and Capturing Data,Female,27 and Under,Low,Health Sector Manager,Single,Graduate,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
603,Hacking into the Information System and Capturing Data,Female,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
604,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Married,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
605,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
606,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
607,Hacking into the Information System and Capturing Data,Male,Between 38 and 50,Low,Technical,Married,High School,Withdrawals Without Knowledge,Copying Bank / ATM Cards,Receiving Public Data on Social Media
608,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,Graduate,Withdrawals Without Knowledge,Selling Counterfeit Products,Phishing Attack
609,Hacking into the Information System and Capturing Data,Male,27 and Under,Low,Student,Single,High School,Withdrawals Without Knowledge,Obtaining and Using Data in Digital Environment,Card Copying / Generating Devices
